cc,country,distance,force_ping_select,host,https_functional,id,isp_id,lat,lon,name,preferred,sponsor,url
DE,Germany,213,,speedtestnet.relaix.net.prod.hosts.ooklaserver.net:8080,1,43512,37072,50.7753,6.0839,Aachen,0,RelAix Networks GmbH,http://speedtestnet.relaix.net:8080/speedtest/upload.php
DK,Denmark,648,,speedtest.telenor.dk:8080,1,11530,45285,57.0488,9.9217,Aalborg,0,Telenor Denmark,http://speedtest.telenor.dk:8080/speedtest/upload.php
US,United States,4272,,speedtest1.wctel.com.prod.hosts.ooklaserver.net:8080,1,6015,47675,34.1786,-82.3792,"Abbeville, SC",0,West Carolina,http://speedtest1.wctel.com:8080/speedtest/upload.php
GB,United Kingdom,603,,speedtest2.converged.co.uk.prod.hosts.ooklaserver.net:8080,1,69984,9588,57.1526,-2.1100,Aberdeen,0,Converged Communication Solutions,http://speedtest2.converged.co.uk:8080/speedtest/upload.php
US,United States,4375,,st-abr.midco.net.prod.hosts.ooklaserver.net:8080,1,14316,151917,45.4647,-98.4865,"Aberdeen, SD",0,Midco,http://st-abr.midco.net:8080/speedtest/upload.php
US,United States,4375,,speedcheck.nvc.net.prod.hosts.ooklaserver.net:8080,1,34216,3149,45.4647,-98.4865,"Aberdeen, SD",0,Northern Valley Communications,http://speedcheck.nvc.net:8080/speedtest/upload.php
US,United States,4375,,speedtest.wavelengthinternet.com.prod.hosts.ooklaserver.net:8080,1,30942,191477,45.4647,-98.4865,"Aberdeen, SD",0,Wavelength LLC,http://speedtest.wavelengthinternet.com:8080/speedtest/upload.php
CI,Côte d'Ivoire,3032,,speedtest1.orange.ci.prod.hosts.ooklaserver.net:8080,1,45390,153730,5.3600,-4.0083,Abidjan,0,ORANGE CI - 10G,http://speedtest1.orange.ci:8080/speedtest/upload.php
CI,Côte d'Ivoire,3034,,moovspeedtest.moov-africa.ci.prod.hosts.ooklaserver.net:8080,1,54009,170198,5.3333,-4.0333,Abidjan,0,MOOV AFRICA CI,http://moovspeedtest.moov-africa.ci:8080/speedtest/upload.php
CI,Côte d'Ivoire,3034,,speedtest.abj.ci.canalbox.net.prod.hosts.ooklaserver.net:8080,1,30328,191743,5.3333,-4.0333,Abidjan,0,CanalBox,http://speedtest.abj.ci.canalbox.net:8080/speedtest/upload.php
CI,Côte d'Ivoire,3034,,speedtest.mtnbusiness.ci.prod.hosts.ooklaserver.net:8080,1,15448,33217,5.3333,-4.0333,Abidjan,0,MTN COTE D'IVOIRE,http://speedtest.mtnbusiness.ci:8080/speedtest/upload.php
US,United States,5069,,speedtest35.suddenlink.net.prod.hosts.ooklaserver.net:8080,1,5420,47677,32.4500,-99.7500,"Abilene, TX",0,Optimum Online,http://speedtest35.suddenlink.net:8080/speedtest/upload.php
US,United States,5069,,speedtest.taylortel.net.prod.hosts.ooklaserver.net:8080,1,29657,212954,32.4500,-99.7500,"Abilene, TX",0,Taylor Telecom,http://speedtest.taylortel.net:8080/speedtest/upload.php
US,United States,5069,,speedtest-i20.wtconnect.com.prod.hosts.ooklaserver.net:8080,1,41132,324245,32.4500,-99.7500,"Abilene, TX",0,WesTex Connect,http://speedtest-i20.wtconnect.com:8080/speedtest/upload.php
GB,United Kingdom,252,,speedtest.slough.oxide.ox.ac.uk:8080,1,55637,2795,51.6708,-1.2880,Abingdon,0,"University of Oxford, IT Services",http://speedtest.slough.oxide.ox.ac.uk:8080/speedtest/upload.php
IN,India,3892,,sp1.angelbroadband.com.prod.hosts.ooklaserver.net:8080,1,20419,169281,30.1453,74.1993,Abohar,0,ANGEL BROADBAND,http://sp1.angelbroadband.com:8080/speedtest/upload.php
BR,Brazil,4529,,teste.janetfibra.com.br:8080,1,56857,198612,-7.9055,-34.9049,Abreu e Lima,0,Janet Fibra,http://teste.janetfibra.com.br:8080/speedtest/upload.php
BR,Brazil,4530,,conectteste.ajustconsulting.com.br:8080,1,60652,148718,-7.9201,-34.9089,Abreu e Lima,0,Conect Fibra,http://conectteste.ajustconsulting.com.br:8080/speedtest/upload.php
BR,Brazil,4530,,speedtest.spaconet.com.br.prod.hosts.ooklaserver.net:8080,1,28651,171715,-7.9201,-34.9089,Abreu e Lima,0,SPACONET TELECOMUNICACOES,http://speedtest.spaconet.com.br:8080/speedtest/upload.php
